AE.01.101	Abu Dhabi Municipality
BR.22.2401651	Bodó
BR.22.2401800	Brejinho
BR.22.2401859	Caiçara do Norte
BR.22.2402006	Caicó
BR.22.2402105	Campo Redondo
BR.22.2402204	Canguaretama
BR.22.2402303	Caraúbas
BR.22.2402501	Carnaubais
BR.22.2402600	Ceará-Mirim
BR.22.2402709	Cerro Corá
BR.22.2402808	Coronel Ezequiel
BR.22.2402907	Coronel João Pessoa
BR.22.2403004	Cruzeta
BR.22.2403103	Currais Novos
BR.22.2403202	Doutor Severiano
BR.22.2403251	Parnamirim
BR.22.2403301	Encanto
BR.22.2403608	Extremoz
BR.22.2403707	Felipe Guerra
BR.22.2403756	Fernando Pedroza
BR.22.2403806	Florânia
BR.22.2403905	Francisco Dantas
BR.22.2404002	Frutuoso Gomes
BR.22.2404101	Galinhos
BR.22.2404200	Goianinha
BR.22.2404309	Governador Dix-Sept Rosado
BR.22.2404408	Grossos
BR.22.2404507	Guamaré
BR.22.2404606	Ielmo Marinho
BR.22.2404705	Ipanguaçu
BR.22.2404804	Ipueira
BR.22.2404853	Itajá
BR.22.2404903	Itaú
BR.22.2405108	Jandaíra
BR.22.2405207	Janduís
BR.22.2405306	Januário Cicco
BR.22.2405405	Japi
BR.22.2405504	Jardim de Angicos
BR.22.2405603	Jardim de Piranhas
BR.22.2405702	Jardim do Seridó
BR.22.2405801	João Câmara
BR.22.2405900	João Dias
BR.22.2406007	José da Penha
BR.22.2406205	Lagoa d'Anta
BR.22.2406304	Lagoa de Pedras
BR.22.2406403	Lagoa de Velhos
BR.22.2406502	Lagoa Nova
BR.22.2406601	Lagoa Salgada
BR.22.2406700	Lajes
BR.22.2406809	Lajes Pintadas
BR.22.2406908	Lucrécia
BR.22.2407005	Luís Gomes
BR.22.2407104	Macaíba
BR.22.2407203	Macau
BR.22.2407252	Major Sales
BR.22.2407302	Marcelino Vieira
BR.22.2407401	Martins
BR.22.2407609	Messias Targino
BR.22.2407708	Montanhas
BR.22.2407807	Monte Alegre
BR.22.2407906	Monte das Gameleiras
BR.22.2408102	Natal
BR.22.2408300	Nova Cruz
BR.22.2408409	Olho-d'Água do Borges
BR.22.2408508	Ouro Branco
BR.22.2408607	Paraná
BR.22.2408805	Parazinho
BR.22.2408904	Parelhas
BR.22.2408953	Rio do Fogo
BR.22.2409100	Passa e Fica
BR.22.2409209	Passagem
BR.22.2409332	Santa Maria
BR.22.2409407	Pau dos Ferros
BR.22.2409506	Pedra Grande
BR.22.2409605	Pedra Preta
BR.22.2409704	Pedro Avelino
BR.22.2409803	Pedro Velho
BR.22.2409902	Pendências
BR.22.2410108	Poço Branco
BR.22.2410207	Portalegre
BR.22.2410256	Porto do Mangue
BR.22.2410306	Serra Caiada
BR.22.2410504	Rafael Fernandes
BR.22.2410603	Rafael Godeiro
BR.22.2410702	Riacho da Cruz
BR.22.2410801	Riacho de Santana
BR.22.2410900	Riachuelo
BR.22.2411007	Rodolfo Fernandes
BR.22.2411056	Tibau
BR.22.2411106	Ruy Barbosa
BR.22.2411205	Santa Cruz
BR.22.2411403	Santana do Matos
BR.22.2411429	Santana do Seridó
BR.22.2411502	Santo Antônio
BR.22.2411601	São Bento do Norte
BR.22.2411700	São Bento do Trairí
BR.22.2411809	São Fernando
BR.22.2411908	São Francisco do Oeste
BR.22.2412005	São Gonçalo do Amarante
BR.22.2412104	São João do Sabugi
BR.22.2412203	São José de Mipibu
BR.22.2412302	São José do Campestre
BR.22.2412401	São José do Seridó
BR.22.2412500	São Miguel
BR.22.2412559	São Miguel do Gostoso
BR.22.2412609	São Paulo do Potengi
BR.22.2412807	São Rafael
BR.22.2413102	Senador Elói de Souza
BR.22.2413201	Senador Georgino Avelino
BR.22.2413300	Serra de São Bento
BR.22.2413359	Serra do Mel
BR.22.2413409	Serra Negra do Norte
BR.22.2413508	Serrinha
BR.22.2413557	Serrinha dos Pintos
BR.22.2413607	Severiano Melo
BR.22.2413706	Sítio Novo
BR.22.2413805	Taboleiro Grande
BR.22.2413904	Taipu
BR.22.2414001	Tangará
BR.22.2414100	Tenente Ananias
BR.22.2414159	Tenente Laurentino Cruz
BR.22.2414209	Tibau do Sul
BR.22.2414308	Timbaúba dos Batistas
BR.22.2414456	Triunfo Potiguar
BR.22.2414506	Umarizal
BR.22.2414605	Upanema
BR.22.2414753	Venha-Ver
BR.22.2414803	Vera Cruz
BR.22.2414902	Viçosa
BR.22.2415008	Vila Flor
BR.17.2500205	Aguiar
BR.17.2500304	Alagoa Grande
BR.17.2500403	Alagoa Nova
BR.17.2500502	Alagoinha
BR.17.2500536	Alcantil
BR.17.2500577	Algodão de Jandaíra
BR.17.2500700	São João do Rio do Peixe
BR.17.2500809	Araçagi
BR.17.2500908	Arara
BR.17.2501005	Araruna
BR.17.2501153	Areia de Baraúnas
BR.17.2501203	Areial
BR.17.2501302	Aroeiras
BR.17.2501351	Assunção
BR.17.2501401	Baía da Traição
BR.17.2501500	Bananeiras
BR.17.2501534	Baraúna
BR.17.2501575	Barra de Santana
BR.17.2501609	Barra de Santa Rosa
BR.17.2501708	Barra de São Miguel
BR.17.2501807	Bayeux
BR.17.2501906	Belém
BR.17.2502003	Belém do Brejo do Cruz
BR.17.2502052	Bernardino Batista
BR.17.2502102	Boa Ventura
BR.17.2502151	Boa Vista
BR.17.2502201	Bom Jesus
BR.17.2502300	Bom Sucesso
BR.17.2502409	Bonito de Santa Fé
BR.17.2502607	Igaracy
BR.17.2502706	Borborema
BR.17.2502805	Brejo do Cruz
BR.17.2502904	Brejo dos Santos
BR.17.2503001	Caaporã
BR.17.2503100	Cabaceiras
BR.17.2503209	Cabedelo
BR.17.2503407	Cacimba de Areia
BR.17.2503506	Cacimba de Dentro
BR.17.2503555	Cacimbas
BR.17.2503605	Caiçara
BR.17.2503753	Cajazeirinhas
BR.17.2503803	Caldas Brandão
BR.17.2503902	Camalaú
BR.17.2504009	Campina Grande
BR.17.2504033	Capim
BR.17.2504074	Caraúbas
BR.17.2504108	Carrapateira
BR.17.2504157	Casserengue
BR.17.2504207	Catingueira
BR.17.2504306	Catolé do Rocha
BR.17.2504355	Caturité
BR.17.2504603	Conde
BR.17.2504702	Congo
BR.17.2504801	Coremas
BR.17.2504850	Coxixola
BR.17.2505006	Cubati
BR.17.2505105	Cuité
BR.17.2505204	Cuitegi
BR.17.2505238	Cuité de Mamanguape
BR.17.2505303	Curral Velho
BR.17.2505352	Damião
BR.17.2505402	Desterro
BR.17.2505501	Vista Serrana
BR.17.2505600	Diamante
BR.17.2505709	Dona Inês
BR.17.2505808	Duas Estradas
BR.17.2505907	Emas
BR.17.2506004	Esperança
BR.17.2506103	Fagundes
BR.17.2506251	Gado Bravo
BR.17.2506301	Guarabira
BR.17.2506400	Gurinhém
BR.17.2506707	Imaculada
BR.17.2506806	Ingá
BR.17.2506905	Itabaiana
BR.17.2507002	Itaporanga
BR.17.2507101	Itapororoca
BR.17.2507200	Itatuba
BR.17.2507309	Jacaraú
BR.17.2507408	Jericó
BR.17.2507507	João Pessoa
BR.17.2507606	Juarez Távora
BR.17.2507804	Junco do Seridó
BR.17.2507903	Juripiranga
BR.17.2508000	Juru
BR.17.2508208	Lagoa de Dentro
BR.17.2508406	Lastro
BR.17.2508505	Livramento
BR.17.2508554	Logradouro
BR.17.2508604	Lucena
BR.17.2508703	Mãe d'Água
BR.17.2508802	Malta
BR.17.2509008	Manaíra
BR.17.2509057	Marcação
BR.17.2509107	Mari
BR.17.2509156	Marizópolis
BR.17.2509206	Massaranduba
BR.17.2509339	Matinhas
BR.17.2509396	Maturéia
BR.17.2509404	Mogeiro
BR.17.2509503	Montadas
BR.17.2509602	Monte Horebe
BR.17.2509800	Mulungu
BR.17.2509909	Natuba
BR.17.2510006	Nazarezinho
BR.17.2510105	Nova Floresta
BR.17.2510204	Nova Olinda
BR.17.2510303	Nova Palmeira
BR.17.2510402	Olho d'Água
BR.17.2510501	Olivedos
BR.17.2510600	Ouro Velho
BR.17.2510659	Parari
BR.17.2510709	Passagem
BR.17.2510808	Patos
BR.17.2511103	Pedra Lavrada
BR.17.2511202	Pedras de Fogo
BR.17.2511400	Picuí
BR.17.2511509	Pilar
BR.17.2511608	Pilões
BR.17.2511707	Pilõezinhos
BR.17.2511806	Pirpirituba
BR.17.2511905	Pitimbu
BR.17.2512036	Poço Dantas
BR.17.2512077	Poço de José de Moura
BR.17.2512309	Princesa Isabel
BR.17.2512408	Puxinanã
BR.17.2512507	Queimadas
BR.17.2512606	Quixaba
BR.17.2512705	Remígio
BR.17.2512747	Riachão
BR.17.2512754	Riachão do Bacamarte
BR.17.2512762	Riachão do Poço
BR.17.2512788	Riacho de Santo Antônio
BR.17.2512804	Riacho dos Cavalos
BR.17.2513000	Salgadinho
BR.17.2513109	Salgado de São Félix
BR.17.2513158	Santa Cecília
BR.17.2513208	Santa Cruz
BR.17.2513307	Santa Helena
BR.17.2513356	Santa Inês
BR.17.2513406	Santa Luzia
BR.17.2513505	Santana de Mangueira
BR.17.2513604	Santana dos Garrotes
BR.17.2513802	Santa Teresinha
BR.17.2513851	Santo André
BR.17.2513927	São Bentinho
BR.17.2513943	São Domingos do Cariri
BR.17.2513968	São Domingos
BR.17.2514008	São João do Cariri
BR.17.2514107	São João do Tigre
BR.17.2514206	São José da Lagoa Tapada
BR.17.2514305	São José de Caiana
BR.17.2514404	São José de Espinharas
BR.17.2514453	São José dos Ramos
BR.17.2514503	São José de Piranhas
BR.17.2514552	São José de Princesa
BR.17.2514651	São José do Brejo do Cruz
BR.17.2514701	São José do Sabugi
BR.17.2514800	São José dos Cordeiros
BR.17.2514909	São Mamede
BR.17.2515005	São Miguel de Taipu
BR.17.2515104	São Sebastião de Lagoa de Roça
BR.17.2515203	São Sebastião do Umbuzeiro
BR.17.2515302	Sapé
BR.17.2515401	São Vicente do Seridó
BR.17.2515500	Serra Branca
BR.17.2515609	Serra da Raiz
BR.17.2515708	Serra Grande
BR.17.2515807	Serra Redonda
BR.17.2515906	Serraria
BR.17.2515971	Sobrado
BR.17.2516003	Solânea
BR.17.2516151	Sossêgo
BR.17.2516300	Sumé
BR.17.2516409	Tacima
BR.17.2516508	Taperoá
BR.17.2516607	Tavares
BR.17.2516706	Teixeira
BR.17.2516755	Tenório
BR.17.2516904	Uiraúna
BR.17.2517001	Umbuzeiro
BR.17.2517100	Várzea
BR.17.2517209	Vieirópolis
BR.30.2600054	Abreu e Lima
BR.30.2600104	Afogados da Ingazeira
BR.30.2600203	Afrânio
BR.30.2600302	Agrestina
BR.30.2600401	Água Preta
BR.30.2600500	Águas Belas
BR.30.2600609	Alagoinha
BR.30.2600708	Aliança
BR.30.2600807	Altinho
BR.30.2600906	Amaraji
BR.30.2601003	Angelim
BR.30.2601201	Arcoverde
BR.30.2601300	Barra de Guabiraba
BR.30.2601409	Barreiros
BR.30.2601508	Belém de Maria
BR.30.2601607	Belém do São Francisco
BR.30.2601706	Belo Jardim
BR.30.2601805	Betânia
BR.30.2601904	Bezerros
BR.30.2602001	Bodocó
BR.30.2602100	Bom Conselho
BR.30.2602209	Bom Jardim
BR.30.2602308	Bonito
BR.30.2602407	Brejão
BR.30.2602506	Brejinho
BR.30.2602605	Brejo da Madre de Deus
BR.30.2602803	Buíque
BR.30.2602902	Cabo de Santo Agostinho
BR.30.2603009	Cabrobó
BR.30.2603108	Cachoeirinha
BR.30.2603207	Caetés
BR.30.2603306	Calçado
BR.30.2603405	Calumbi
BR.30.2603454	Camaragibe
BR.30.2603504	Camocim de São Félix
BR.30.2603603	Camutanga
BR.30.2603702	Canhotinho
BR.30.2603801	Capoeiras
BR.30.2603900	Carnaíba
BR.30.2603926	Carnaubeira da Penha
BR.30.2604007	Carpina
BR.30.2604106	Caruaru
BR.30.2604155	Casinhas
BR.30.2604205	Catende
BR.30.2604403	Chã de Alegria
BR.30.2604502	Chã Grande
BR.30.2604601	Condado
BR.30.2604809	Cortês
BR.30.2604908	Cumaru
BR.30.2605004	Cupira
BR.30.2605103	Custódia
BR.30.2605152	Dormentes
BR.30.2605202	Escada
BR.30.2605301	Exu
BR.30.2605400	Feira Nova
BR.30.2605707	Floresta
BR.30.2605806	Frei Miguelinho
BR.30.2605905	Gameleira
BR.30.2606002	Garanhuns
BR.30.2606101	Glória do Goitá
BR.30.2606200	Goiana
BR.30.2606309	Granito
BR.30.2606408	Gravatá
BR.30.2606507	Iati
BR.30.2606606	Ibimirim
BR.30.2606705	Ibirajuba
BR.30.2606804	Igarassu
BR.30.2606903	Iguaracy
BR.30.2607000	Inajá
BR.30.2607208	Ipojuca
BR.30.2607307	Ipubi
BR.30.2607406	Itacuruba
BR.30.2607505	Itaíba
BR.30.2607604	Ilha de Itamaracá
BR.30.2607703	Itapetim
BR.30.2607752	Itapissuma
BR.30.2607802	Itaquitinga
BR.30.2607901	Jaboatão dos Guararapes
BR.30.2607950	Jaqueira
BR.30.2608008	Jataúba
BR.30.2608057	Jatobá
BR.30.2608107	João Alfredo
BR.30.2608206	Joaquim Nabuco
BR.30.2608255	Jucati
BR.30.2608305	Jupi
BR.30.2608404	Jurema
BR.30.2608453	Lagoa do Carro
BR.30.2608503	Lagoa de Itaenga
BR.30.2608602	Lagoa do Ouro
BR.30.2608701	Lagoa dos Gatos
BR.30.2608750	Lagoa Grande
BR.30.2608800	Lajedo
BR.30.2608909	Limoeiro
BR.30.2609006	Macaparana
BR.30.2609105	Machados
BR.30.2609154	Manari
BR.30.2609204	Maraial
BR.30.2609303	Mirandiba
BR.30.2609402	Moreno
BR.30.2609501	Nazaré da Mata
BR.30.2609600	Olinda
BR.30.2609709	Orobó
BR.30.2609808	Orocó
BR.30.2609907	Ouricuri
BR.30.2610004	Palmares
BR.30.2610103	Palmeirina
BR.30.2610202	Panelas
BR.30.2610301	Paranatama
BR.30.2610400	Parnamirim
BR.30.2610509	Passira
BR.30.2610608	Paudalho
BR.30.2610806	Pedra
BR.30.2610905	Pesqueira
BR.30.2611002	Petrolândia
BR.30.2611101	Petrolina
BR.30.2611200	Poção
BR.30.2611309	Pombos
BR.30.2611408	Primavera
BR.30.2611507	Quipapá
BR.30.2611533	Quixaba
BR.30.2611606	Recife
BR.30.2611705	Riacho das Almas
BR.30.2611804	Ribeirão
BR.30.2611903	Rio Formoso
BR.30.2612000	Sairé
BR.30.2612109	Salgadinho
BR.30.2612208	Salgueiro
BR.30.2612307	Saloá
BR.30.2612406	Sanharó
BR.30.2612455	Santa Cruz
BR.30.2612471	Santa Cruz da Baixa Verde
BR.30.2612505	Santa Cruz do Capibaribe
BR.30.2612554	Santa Filomena
BR.30.2612604	Santa Maria da Boa Vista
BR.30.2612703	Santa Maria do Cambucá
BR.30.2612802	Santa Terezinha
BR.30.2613008	São Bento do Una
BR.30.2613107	São Caitano
BR.30.2613305	São Joaquim do Monte
BR.30.2613404	São José da Coroa Grande
BR.30.2613503	São José do Belmonte
BR.30.2613602	São José do Egito
BR.30.2613701	São Lourenço da Mata
BR.30.2613800	São Vicente Férrer
BR.30.2613909	Serra Talhada
BR.30.2614105	Sertânia
BR.30.2614204	Sirinhaém
BR.30.2614303	Moreilândia
BR.30.2614402	Solidão
BR.30.2614501	Surubim
BR.30.2614600	Tabira
BR.30.2614709	Tacaimbó
BR.30.2614808	Tacaratu
BR.30.2614857	Tamandaré
BR.30.2615003	Taquaritinga do Norte
BR.30.2615102	Terezinha
BR.30.2615201	Terra Nova
BR.30.2615409	Toritama
BR.30.2615508	Tracunhaém
BR.30.2615607	Trindade
BR.30.2615706	Triunfo
BR.30.2615805	Tupanatinga
BR.30.2615904	Tuparetama
BR.30.2616001	Venturosa
BR.30.2616100	Verdejante
BR.30.2616183	Vertente do Lério
BR.30.2616209	Vertentes
BR.30.2616308	Vicência
BR.30.2616407	Vitória de Santo Antão
BR.30.2616506	Xexéu
BR.02.2700409	Atalaia
BR.02.2700607	Barra de São Miguel
BR.02.2700805	Belém
BR.02.2701001	Boca da Mata
BR.02.2701100	Branquinha
BR.02.2701308	Cajueiro
BR.02.2701357	Campestre
BR.02.2701407	Campo Alegre
BR.02.2701704	Capela
BR.02.2701803	Carneiros
BR.02.2701902	Chã Preta
BR.02.2702009	Coité do Nóia
BR.02.2702207	Coqueiro Seco
BR.02.2702504	Dois Riachos
BR.02.2702702	Feliz Deserto
BR.02.2702801	Flexeiras
BR.02.2703007	Ibateguara
BR.02.2703304	Inhapi
BR.02.2703502	Jacuípe
BR.02.2703601	Japaratinga
BR.02.2703700	Jaramataia
BR.02.2703809	Joaquim Gomes
BR.02.2703908	Jundiá
BR.02.2704104	Lagoa da Canoa
BR.02.2704302	Maceió
BR.02.2704500	Maragogi
BR.02.2704609	Maravilha
BR.02.2704708	Marechal Deodoro
BR.02.2704906	Mar Vermelho
BR.02.2705101	Matriz de Camaragibe
BR.02.2705200	Messias
BR.02.2705309	Minador do Negrão
BR.02.2705408	Monteirópolis
BR.02.2705507	Murici
BR.02.2705606	Novo Lino
BR.02.2705903	Olho d'Água Grande
BR.02.2706000	Olivença
BR.02.2706109	Ouro Branco
BR.02.2706208	Palestina
BR.02.2706422	Pariconha
BR.02.2706448	Paripueira
BR.02.2706505	Passo de Camaragibe
BR.02.2706604	Paulo Jacinto
BR.02.2706802	Piaçabuçu
BR.02.2706901	Pilar
BR.02.2707008	Pindoba
BR.02.2707305	Porto Calvo
BR.02.2707404	Porto de Pedras
BR.02.2707602	Quebrangulo
BR.02.2707701	Rio Largo
BR.02.2707800	Roteiro
BR.02.2707909	Santa Luzia do Norte
BR.02.2708105	Santana do Mundaú
BR.02.2708501	São Luís do Quitunde
BR.02.2708709	São Miguel dos Milagres
BR.02.2708907	Satuba
BR.02.2709004	Tanque d'Arca
BR.02.2709103	Taquarana
BR.02.2709152	Teotônio Vilela
BR.02.2709301	União dos Palmares
BR.02.2709400	Viçosa
BR.28.2800308	Aracaju
BR.28.2800407	Arauá
BR.28.2800506	Areia Branca
BR.28.2800605	Barra dos Coqueiros
BR.28.2800670	Boquim
BR.28.2800704	Brejo Grande
BR.28.2801306	Capela
BR.28.2801504	Carmópolis
BR.28.2801702	Cristinápolis
BR.28.2802007	Divina Pastora
BR.28.2802106	Estância
BR.28.2802502	General Maynard
BR.28.2802700	Ilha das Flores
BR.28.2802809	Indiaroba
BR.28.2802908	Itabaiana
BR.28.2803203	Itaporanga d'Ajuda
BR.28.2803302	Japaratuba
BR.28.2803609	Laranjeiras
BR.28.2803807	Malhada dos Bois
BR.28.2803906	Malhador
BR.28.2804003	Maruim
BR.28.2804102	Moita Bonita
BR.28.2804300	Muribeca
BR.28.2804458	Nossa Senhora Aparecida
BR.28.2804706	Nossa Senhora de Lourdes
BR.28.2804805	Nossa Senhora do Socorro
BR.28.2805109	Pedrinhas
BR.28.2805307	Pirambu
BR.28.2805901	Riachuelo
BR.28.2806107	Rosário do Catete
BR.28.2806206	Salgado
BR.28.2806305	Santa Luzia do Itanhy
BR.28.2806404	Santana do São Francisco
BR.28.2806503	Santa Rosa de Lima
BR.28.2806602	Santo Amaro das Brotas
BR.28.2806701	São Cristóvão
BR.28.2807204	Siriri
BR.28.2807303	Telha
BR.28.2807600	Umbaúba
BR.05.2900108	Abaíra
BR.05.2900207	Abaré
BR.05.2900306	Acajutiba
BR.05.2900355	Adustina
BR.05.2900405	Água Fria
BR.05.2900504	Érico Cardoso
BR.05.2900603	Aiquara
BR.05.2900801	Alcobaça
BR.05.2900900	Almadina
BR.05.2901007	Amargosa
BR.05.2901106	Amélia Rodrigues
BR.05.2901155	América Dourada
BR.05.2901205	Anagé
BR.05.2901304	Andaraí
BR.05.2901353	Andorinha
BR.05.2901403	Angical
BR.05.2901502	Anguera
BR.05.2901601	Antas
BR.05.2901700	Antônio Cardoso
BR.05.2901809	Antônio Gonçalves
BR.05.2901908	Aporá
BR.05.2901957	Apuarema
BR.05.2902005	Aracatu
BR.05.2902054	Araçás
BR.05.2902104	Araci
BR.05.2902252	Arataca
BR.05.2902302	Aratuípe
BR.05.2902401	Aurelino Leal
BR.05.2902500	Baianópolis
BR.05.2902609	Baixa Grande
BR.05.2902658	Banzaê
BR.05.2902708	Barra
BR.05.2902807	Barra da Estiva
BR.05.2902906	Barra do Choça
BR.05.2903102	Barra do Rocha
BR.05.2903235	Barro Alto
BR.05.2903300	Barro Preto
BR.05.2903508	Belo Campo
BR.05.2903607	Biritinga
BR.05.2903706	Boa Nova
BR.05.2903805	Boa Vista do Tupim
BR.05.2903904	Bom Jesus da Lapa
BR.05.2903953	Bom Jesus da Serra
BR.05.2904001	Boninal
BR.05.2904050	Bonito
BR.05.2904100	Boquira
BR.05.2904209	Botuporã
BR.05.2904407	Brejolândia
BR.05.2904506	Brotas de Macaúbas
BR.05.2904605	Brumado
BR.05.2904704	Buerarema
BR.05.2904753	Buritirama
BR.05.2904803	Caatiba
BR.05.2904852	Cabaceiras do Paraguaçu
BR.05.2904902	Cachoeira
BR.05.2905008	Caculé
BR.05.2905107	Caém
BR.05.2905156	Caetanos
BR.05.2905206	Caetité
BR.05.2905305	Cafarnaum
BR.05.2905404	Cairu
BR.05.2905503	Caldeirão Grande
BR.05.2905602	Camacan
BR.05.2905701	Camaçari
BR.05.2905800	Camamu
BR.05.2905909	Campo Alegre de Lourdes
BR.05.2906006	Campo Formoso
BR.05.2906105	Canápolis
BR.05.2906204	Canarana
BR.05.2906303	Canavieiras
BR.05.2906402	Candeal
BR.05.2906600	Candiba
BR.05.2906709	Cândido Sales
BR.05.2906808	Cansanção
BR.05.2906824	Canudos
BR.05.2906857	Capela do Alto Alegre
BR.05.2906873	Capim Grosso
BR.05.2906899	Caraíbas
BR.05.2906907	Caravelas
BR.05.2907004	Cardeal da Silva
BR.05.2907103	Carinhanha
BR.05.2907202	Casa Nova
BR.05.2907301	Castro Alves
BR.05.2907400	Catolândia
BR.05.2907509	Catu
BR.05.2907558	Caturama
BR.05.2907608	Central
BR.05.2907806	Cícero Dantas
BR.05.2907905	Cipó
BR.05.2908002	Coaraci
BR.05.2908101	Cocos
BR.05.2908200	Conceição da Feira
BR.05.2908309	Conceição do Almeida
BR.05.2908408	Conceição do Coité
BR.05.2908507	Conceição do Jacuípe
BR.05.2908606	Conde
BR.05.2908705	Condeúba
BR.05.2908804	Contendas do Sincorá
BR.05.2908903	Coração de Maria
BR.05.2909000	Cordeiros
BR.05.2909109	Coribe
BR.05.2909208	Coronel João Sá
BR.05.2909307	Correntina
BR.05.2909406	Cotegipe
BR.05.2909505	Cravolândia
BR.05.2909604	Crisópolis
BR.05.2909703	Cristópolis
BR.05.2909802	Cruz das Almas
BR.05.2909901	Curaçá
BR.05.2910008	Dário Meira
BR.05.2910206	Dom Macedo Costa
BR.05.2910305	Elísio Medrado
BR.05.2910404	Encruzilhada
BR.05.2910503	Entre Rios
BR.05.2910602	Esplanada
BR.05.2910701	Euclides da Cunha
BR.05.2910727	Eunápolis
BR.05.2910750	Fátima
BR.05.2910776	Feira da Mata
BR.05.2910800	Feira de Santana
BR.05.2910859	Filadélfia
BR.05.2910909	Firmino Alves
BR.05.2911006	Floresta Azul
BR.05.2911105	Formosa do Rio Preto
BR.05.2911204	Gandu
BR.05.2911253	Gavião
BR.05.2911303	Gentio do Ouro
BR.05.2911501	Gongogi
BR.05.2911600	Governador Mangabeira
BR.05.2911659	Guajeru
BR.05.2911709	Guanambi
BR.05.2911857	Heliópolis
BR.05.2912004	Ibiassucê
BR.05.2912103	Ibicaraí
BR.05.2912202	Ibicoara
BR.05.2912301	Ibicuí
BR.05.2912400	Ibipeba
BR.05.2912509	Ibipitanga
BR.05.2912608	Ibiquera
BR.05.2912707	Ibirapitanga
BR.05.2912806	Ibirapuã
BR.05.2912905	Ibirataia
BR.05.2913002	Ibitiara
BR.05.2913101	Ibititá
BR.05.2913200	Ibotirama
BR.05.2913309	Ichu
BR.05.2913408	Igaporã
BR.05.2913457	Igrapiúna
BR.05.2913507	Iguaí
BR.05.2913606	Ilhéus
BR.05.2913705	Inhambupe
BR.05.2913804	Ipecaetá
BR.05.2913903	Ipiaú
BR.05.2914000	Ipirá
BR.05.2914109	Ipupiara
BR.05.2914208	Irajuba
BR.05.2914307	Iramaia
BR.05.2914406	Iraquara
BR.05.2914505	Irará
BR.05.2914604	Irecê
BR.05.2914653	Itabela
BR.05.2914703	Itaberaba
BR.05.2914802	Itabuna
BR.05.2914901	Itacaré
BR.05.2915007	Itaeté
BR.05.2915106	Itagi
BR.05.2915205	Itagibá
BR.05.2915304	Itagimirim
BR.05.2915353	Itaguaçu da Bahia
BR.05.2915403	Itaju do Colônia
BR.05.2915502	Itajuípe
BR.05.2915601	Itamaraju
BR.05.2915700	Itamari
BR.05.2915809	Itambé
BR.05.2915908	Itanagra
BR.05.2916005	Itanhém
BR.05.2916104	Itaparica
BR.05.2916203	Itapé
BR.05.2916302	Itapebi
BR.05.2916401	Itapetinga
BR.05.2916609	Itapitanga
BR.05.2916708	Itaquara
BR.05.2916807	Itarantim
BR.05.2916856	Itatim
BR.05.2916906	Itiruçu
BR.05.2917003	Itiúba
BR.05.2917102	Itororó
BR.05.2917201	Ituaçu
BR.05.2917334	Iuiu
BR.05.2917359	Jaborandi
BR.05.2917409	Jacaraci
BR.05.2917508	Jacobina
BR.05.2917607	Jaguaquara
BR.05.2917706	Jaguarari
BR.05.2917805	Jaguaripe
BR.05.2917904	Jandaíra
BR.05.2918001	Jequié
BR.05.2918100	Jeremoabo
BR.05.2918209	Jiquiriçá
BR.05.2918308	Jitaúna
BR.05.2918357	João Dourado
BR.05.2918407	Juazeiro
BR.05.2918456	Jucuruçu
BR.05.2918506	Jussara
BR.05.2918555	Jussari
BR.05.2918605	Jussiape
BR.05.2918704	Lafaiete Coutinho
BR.05.2918803	Laje
BR.05.2918902	Lajedão
BR.05.2919009	Lajedinho
BR.05.2919058	Lajedo do Tabocal
BR.05.2919108	Lamarão
BR.05.2919157	Lapão
BR.05.2919207	Lauro de Freitas
BR.05.2919306	Lençóis
BR.05.2919405	Licínio de Almeida
BR.05.2919504	Livramento de Nossa Senhora
BR.05.2919603	Macajuba
BR.05.2919702	Macarani
BR.05.2919801	Macaúbas
BR.05.2919926	Madre de Deus
BR.05.2919959	Maetinga
BR.05.2920007	Maiquinique
BR.05.2920106	Mairi
BR.05.2920205	Malhada
BR.05.2920304	Malhada de Pedras
BR.05.2920403	Manoel Vitorino
BR.05.2920452	Mansidão
BR.05.2920502	Maracás
BR.05.2920601	Maragogipe
BR.05.2920700	Maraú
BR.05.2920809	Marcionílio Souza
BR.05.2920908	Mascote
BR.05.2921005	Mata de São João
BR.05.2921054	Matina
BR.05.2921104	Medeiros Neto
BR.05.2921203	Miguel Calmon
BR.05.2921401	Mirangaba
BR.05.2921450	Mirante
BR.05.2921500	Monte Santo
BR.05.2921609	Morpará
BR.05.2921708	Morro do Chapéu
BR.05.2921807	Mortugaba
BR.05.2921906	Mucugê
BR.05.2922003	Mucuri
BR.05.2922052	Mulungu do Morro
BR.05.2922102	Mundo Novo
BR.05.2922201	Muniz Ferreira
BR.05.2922300	Muritiba
BR.05.2922409	Mutuípe
BR.05.2922508	Nazaré
BR.05.2922706	Nova Canaã
BR.05.2922730	Nova Fátima
BR.05.2922755	Nova Ibiá
BR.05.2922805	Nova Itarana
BR.05.2922854	Nova Redenção
BR.05.2922904	Nova Soure
BR.05.2923035	Novo Horizonte
BR.05.2923050	Novo Triunfo
BR.05.2923100	Olindina
BR.05.2923308	Ouriçangas
BR.05.2923357	Ourolândia
BR.05.2923407	Palmas de Monte Alto
BR.05.2923506	Palmeiras
BR.05.2923605	Paramirim
BR.05.2923704	Paratinga
BR.05.2923803	Paripiranga
BR.05.2923902	Pau Brasil
BR.05.2924058	Pé de Serra
BR.05.2924108	Pedrão
